Distance Downstream (meters),Cl (mg/l),
97.29,21.3,
211.72,21.3,
293.63,23.8,
381.34,50,possible fault
474.8,36.3,
690.93,28.8,
807.17,32.5,
893.99,40,possible fault
960.93,25,
1084.73,26.3,
1255.94,23.8,
1377,18.8,
1471.6,15,
1802.14,17.5,
1962.15,15,
2077.21,13.8,
2240.19,15,
2353.18,6.25,
,,
,,
